"page_name","country","post_date","total_interactions","Message","URL"
"GMA News","PH",2021-10-04,512,"""The United States is very concerned by the People's Republic of China's provocative military activity near Taiwan, which is destabilizing, risks miscalculations, and undermines regional peace and stability,"" US State Department spokesman Ned Price said in a statement. ""We urge Beijing to cease its military, diplomatic, and economic pressure and coercion against Taiwan.""","https://www.facebook.com/116724526976/posts/10160437198276977"
"detikcom","ID",2020-09-10,511,"""Kami dengan cepat mencapai kesuksesan awal dalam perang rakyat melawan virus corona. Kami memimpin dunia dalam pemulihan ekonomi dan perang melawan Covid-19,"" ujar Xi Jinping. Berikut penuturannya. #CNNIndonesia #detikNetwork","https://www.facebook.com/374777242078/posts/10159710002852079"
"GMA News","PH",2023-09-14,509,"AFP Western Command: China trying to establish presence among shoals inside the Philippine Exclusive Economic Zone near gas-rich Recto Bank; Chinese presence grows in Rozul or Iroqouis Reef and Escoda or Sabina Shoal. | via Joseph Morong/GMA Integrated News","https://www.facebook.com/100064849986224/posts/712445374260456"
"ABC News","AU",2020-01-16,508,"""If China delivers on its promise, the long-sought-after deal will provide some relief for Americans who've suffered since the tit-for-tat exchange started.""","https://www.facebook.com/72924719987/posts/10160637656539988"
"CNN","US",2021-05-11,507,"China's population grew at its slowest rate in decades in the 10 years prior to 2020, according to census data","https://www.facebook.com/5550296508/posts/10161986392311509"
"CNA","SG",2022-10-13,505,"The US is also working to reduce companies' ""extreme dependence"" on technologies made in China and a few other countries, says US Treasury Secretary Janet Yellen.","https://www.facebook.com/93889432933/posts/10159157718422934"
"CNA","SG",2022-11-03,504,"At least six Chinese COVID-19 testing companies have reported a soaring jump in earnings from January to September.","https://www.facebook.com/93889432933/posts/10159220790662934"
"CNA","SG",2020-02-26,503,"With China accounting for 37 per cent of growth in world GDP since 2008, the risk of outright global recession in the first half of 2020 is a distinct possibility, says an observer.","https://www.facebook.com/93889432933/posts/10157156758207934"
"CNA","SG",2022-05-10,497,"Several countries in the Indo-Pacific region have accused Chinese fishing vessels of violating their exclusive economic zones.","https://www.facebook.com/93889432933/posts/10158908289422934"
"CNN","US",2020-11-21,496,"“It’s hard to tell if it’s because of racism or if it’s just the pandemic, but we are still down 50%.” When the coronavirus pandemic hit, Cam Voung’s Chinese restaurant, Canton House, not only saw a dramatic drop in business, but it was also the target of vandals who broke his windows. Now Asian Americans are still facing the economic consequences of Covid-19 along with the racism and xenophobia that has spread with the virus. The Asian American unemployment rate, once the lowest, is now one of the highest. CNN goes to Atlanta, where Asian American businesses are still struggling eight months into the coronavirus pandemic.","https://www.facebook.com/5550296508/posts/10161489434201509"
"CNA","SG",2021-10-05,495,"Malaysia summoned China's ambassador to Kuala Lumpur over the ""presence and activities"" of Chinese vessels in its Exclusive Economic Zone.","https://www.facebook.com/93889432933/posts/10158558555567934"
"CNA","SG",2023-01-12,494,"There is still not enough information from China to make a full assessment of the dangers of the COVID-19 surge, says the WHO.","https://www.facebook.com/93889432933/posts/10159394910477934"
"CNA","SG",2023-05-13,492,"The EU today is even more dependent on China for key technologies such as solar panels and for critical materials, says foreign policy chief Josep Borrell.","https://www.facebook.com/93889432933/posts/10159627951807934"
"CNN","US",2020-01-07,492,"Stocks are set to open slightly higher as investors continue to monitor the situation between the United States and Iran. There are no major earnings or economic reports today. In corporate news, shares of Tesla are poised to open at a new all-time high on optimism about the company's plans to start selling Shanghai-made Model 3s in China. CEO Elon Musk also touted the potential for its new Model Y crossover in China.","https://www.facebook.com/5550296508/posts/10160315498441509"
"GMA News","PH",2023-01-16,485,"""Actually, I don't know how the word partnership started to be used. It's really an agreement that you will...that China will not stop our fishermen from fishing,"" President Ferdinand ""Bongbong"" Marcos Jr. told reporters while en route to Davos, Switzerland for the World Economic Forum (WEF).","https://www.facebook.com/116724526976/posts/10161544224871977"
"CNN","US",2022-07-05,484,"The United States and China held talks Monday to discuss the huge challenges facing the global economy","https://www.facebook.com/5550296508/posts/10162874760701509"
"CNN","US",2020-02-03,483,"Months of increasingly violent protests and a bruising US-China trade war pushed Hong Kong into a recession last year for the first time in a decade. Now the coronavirus outbreak threatens to derail things once again.","https://www.facebook.com/5550296508/posts/10160417782791509"
"CNN","US",2023-11-09,483,"US Treasury Secretary Janet Yellen will meet Chinese Vice Premier He Lifeng to discuss the bilateral relationship between the world’s two largest economies and other global issues over two days starting Thursday.","https://www.facebook.com/100059479812265/posts/726017439390910"
"GMA News","PH",2023-07-07,482,"48 na barko ng China ang namataan sa isang bahurang malapit sa Recto Bank na bahagi ng exclusive economic zone ng Pilipinas. Posible raw may kinalaman 'yan sa oil exploration, ayon sa isang eksperto. | July 07, 2023","https://www.facebook.com/100064849986224/posts/668648245306836"
"ABC News","AU",2021-05-14,481,"Secretary of State Antony Blinken says the United States will not leave Australia alone in the face of economic coercion from China, and that such behaviour towards US allies will hamper improvement in US-Sino relations.","https://www.facebook.com/72924719987/posts/10162527960469988"
"CNN","US",2019-12-05,479,"Stocks are looking to head higher Thursday on renewed hopes for a trade agreement between the United States and China. Good news about the economy may brighten traders' spirits as well. Weekly jobless claims fell to 203,000 -- near their lowest level on record. That news comes one day before the government is set to release the employment report for November. Economists are predicting that 180,000 jobs were added last month.","https://www.facebook.com/5550296508/posts/10160197743066509"
"CNA","SG",2022-06-20,475,"The amount of medical waste generated in China is at a scale that is ""practically unseen in human history"", says an environmental studies expert.","https://www.facebook.com/93889432933/posts/10158976711267934"
"Tgcom24","IT",2020-06-19,474,"Accuse che hanno fatto molto discutere","https://www.facebook.com/40337124609/posts/10159062397164610"
"CNN","US",2024-01-09,473,"These migrants are fleeing the world’s second-largest economy and an emerging superpower.","https://www.facebook.com/100059479812265/posts/758124892846831"
"GMA News","PH",2021-05-13,472,"China's unabated reclamation activities and deployment of military vessels within the Philippines' exclusive economic zone in the West Philippine Sea will never invalidate the Philippines' legal claims, presidential spokesperson Harry Roque said Thursday. ""Maski anong gawin nila riyan, might is not always right. Territories acquired through conquest will never ripen to title. Huwag po kayo mag-alala,"" Roque said.","https://www.facebook.com/116724526976/posts/10160038879796977"
"ABC News","AU",2020-07-18,471,"Indonesia is grappling with a coronavirus catastrophe as it records upwards of 1,000 cases per day, a situation exacerbated by the commercialisation of tests and an early reopening of the economy.","https://www.facebook.com/72924719987/posts/10161486664959988"
"CNN","US",2021-06-01,471,"China's decision to allow people to have more children is a dramatic attempt to head off a worsening labor shortage that could weigh on the country's economic rise. | Analysis by Laura He","https://www.facebook.com/5550296508/posts/10162040736031509"
"CNA","SG",2021-01-18,468,"China's GDP grew last year, making it the only major economy to avoid a contraction as the world struggled to contain the COVID-19 pandemic.","https://www.facebook.com/93889432933/posts/10158026154307934"
"ABC News","AU",2020-05-06,467,"""A cooperative trans-Tasman manufacturing strategy should be on the table right now and in any future bilateral trade policy conversations,"" writes Hongzhi Gao and Monica Ren.","https://www.facebook.com/72924719987/posts/10161161979454988"
"CNN","US",2020-07-06,467,"Futures are pointing to a higher open Monday following a three day weekend for investors. Optimism about the economic and market rebound in China offset continued worries about the increase in Covid-19 cases in many American states. The tech-heavy Nasdaq index is on track to extend its record-setting run after closing at a new all-time high Thursday.","https://www.facebook.com/5550296508/posts/10161062343136509"
"CNA","SG",2023-11-24,466,"European officials have repeatedly vowed to reduce economic dependence on China in critical sectors, but the turn towards protectionism should be reduced, says Foreign Minister Wang Yi.","https://www.facebook.com/100064391875569/posts/736386825184373"
"GMA News","PH",2021-06-09,466,"President Duterte has consistently called China a dependable friend especially amid the #COVID19 pandemic. To date, majority of the country's COVID-19 vaccine supply were either donated by China or procured from Chinese company Sinovac. Likewise, the President has said that he will only send gray ships to the West Philippine Sea once China drills oil within the Philippines' exclusive economic zone.","https://www.facebook.com/116724526976/posts/10160120678576977"
"News24.com","ZA",2020-01-20,465,"China's birth rate dropped last year to its lowest level since the Communist country was founded in 1949, adding to concerns that an ageing society and shrinking workforce will pile pressure on a slowing economy.","https://www.facebook.com/10227041841/posts/10158233233631842"
"NDTV","IN",2022-09-24,465,"Narayana Murthy said when he left HSBC (in 2012), India's name hardly found a mention during meetings, while China's name was taken nearly 30 times.","https://www.facebook.com/100064668314825/posts/480910410741232"
"detikcom","ID",2020-01-08,464,"Republik Rakyat China (RRC) menyerobot laut Zona Ekonomi Eksklusif (ZEE) Natuna, Indonesia. Pemerintah diminta tidak hanya melakukan soft diplomasi, tapi juga hard diplomasi. #China #Natuna","https://www.facebook.com/374777242078/posts/10158734395342079"
"NDTV","IN",2020-08-23,464,"Donald Trump entered into a high-stakes trade war with China before reaching a partial Phase 1 trade deal in January. Trump has since shut the door on Phase 2 negotiations, saying he was unhappy with Beijing's handling of the pandemic","https://www.facebook.com/102527030797/posts/10159098181710798"
"ABC News","AU",2020-07-22,463,"China is accusing the United States of trying to ""suppress Chinese companies"" after the US added 11 of them to an economic blacklist because of human rights abuses against Muslim minorities.","https://www.facebook.com/72924719987/posts/10161501631589988"
"GMA News","PH",2020-12-05,462,"Hindi raw napigilan ng pandemya ng China sa pag-angkin nito sa mga pinag-aagawang bahagi ng South China Sea, kabilang ang mga lugar na nasa exclusive economic zone ng Pilipinas. Base sa mga datos na nakalap ng Asia Maritime Transparency Initiative, mas madalas pa ang pagpapatrolya ngayon ng China sa West Philippine Sea.","https://www.facebook.com/116724526976/posts/10159521696311977"
"GMA News","PH",2020-09-24,462,"“Kahit anong physical military occupation nila sa mga isla na ang sabi naman ng tribunal ay kabahagi ng ating exclusive economic zone, will never ripen into a valid legal title,"" Roque said of China's control over Scarborough Shoal and Mischief Reef.","https://www.facebook.com/116724526976/posts/10159281147121977"
"CNA","SG",2023-01-01,454,"In Wuhan, where COVID-19 cases were first recorded, hundreds of security personnel stood guard and people were advised not to gather.","https://www.facebook.com/93889432933/posts/10159374057572934"
"GMA News","PH",2023-05-19,452,"Pumalag ang Vietnam sa ginawang paglalagay ng boya ng Philippine Coast Guard o PCG sa ilang bahagi ng West Philippine Sea na sakop ng Exclusive Economic Zone ng Pilipinas. Ito ay dahil may habol din daw ang Vietnam sa pinag-aagawang teritoryo sa West Philippine Sea bukod sa China at Pilipinas. Kung ano ang ginawang aksyon ng gobyerno, at iba pang balita panoorin sa video. -LALAKING NAGPANGGAP NA TAUHAN NG MMDA NABUKING -DALAWA PATAY MATAPOS MABAGSAKAN NG PUNO NG BALETE SA MAYNILA","https://www.facebook.com/116724526976/posts/10161832726726977"
"CNN","US",2021-08-16,452,"""Analysts in the West and in Russia have questioned the real military value of the exercises, suggesting Beijing and Moscow likely had differing objectives, from propaganda to economic,"" writes CNN's Brad Lendon.","https://www.facebook.com/5550296508/posts/10162219530766509"
"CNA","SG",2020-02-24,450,"As China’s number of confirmed COVID-19 cases outside of Hubei continues to fall, authorities are now pushing for people to return to work and help meet the country’s economic and social goals. CNA’s Olivia Siong with the details.","https://www.facebook.com/93889432933/posts/10157151775012934"
"El Tiempo","CO",2020-10-20,447,"Vía BBC News Mundo | La economía en China, el primer epicentro de la pandemia de covid-19, no deja de crecer tras la reapertura. ¿Qué hicieron para lograr esto? Acá le contamos👇","https://www.facebook.com/148349507804/posts/10157610645692805"
"CNA","SG",2021-12-12,445,"Blinken is due to visit Jakarta on Monday, as well as Malaysia and Thailand, on his first Southeast Asia trip.","https://www.facebook.com/93889432933/posts/10158676574917934"
"Infobae","AR",2022-01-18,443,"Temen una fuerte caída de su demanda de bienes en el mercado internacional","https://www.facebook.com/34839376970/posts/10159834968356971"
"CNA","SG",2022-12-21,442,"“The China collapse theory has been around for 25 years, and each year it's been wrong,” says one observer.","https://www.facebook.com/93889432933/posts/10159352082897934"
"CBC News","CA",2020-01-30,442,"The World Health Organization has declared a public health emergency of international concern.","https://www.facebook.com/5823419603/posts/10158283359939604"
"CNA","SG",2022-12-21,439,"China reported no COVID-19 deaths for Dec 20, after changing the criteria for recording virus fatalities.","https://www.facebook.com/93889432933/posts/10159351635047934"
"CNA","SG",2022-07-07,439,"""Hard work"" is needed to stabilise China's economy, says Chinese Premier Li Keqiang.","https://www.facebook.com/93889432933/posts/10159004264152934"
"CNA","SG",2022-06-29,439,"Friday marks the halfway point of a 50-year One Country, Two Systems model governing Hong Kong that China agreed to ahead of the 1997 handover by Britain.","https://www.facebook.com/93889432933/posts/10158990960517934"
"CNA","SG",2021-11-24,439,"China recorded 8.52 births per 1,000 people last year.","https://www.facebook.com/93889432933/posts/10158646019707934"
"Digi24","RO",2019-12-03,438,"Planul PNL după ce PSD și-a schimbat tactica pe recursul compensatoriu, eliminarea pensiilor speciale și a supraaccizei - http://bit.ly/2OIv5ZB:=:https://www.digi24.ro/stiri/actualitate/politica/planul-pnl-dupa-ce-psd-si-a-schimbat-tactica-pe-recursul-compensatoriu-eliminarea-pensiilor-speciale-si-a-supraaccizei-1225949 UE lansează cel mai ambiţios program din lume privind clima. Va transforma radical economia şi va devansa China şi Japonia - http://bit.ly/2YbF0Kh:=:https://www.digi24.ro/stiri/externe/ue/ue-lanseaza-cel-mai-ambitios-program-din-lume-privind-clima-va-transforma-radical-economia-si-va-devansa-china-si-japonia-1225945 Scandal fără precedent după decizia unei primării de a desfiinţa Poliţia Locală. ""Nu se face nicio economie la buget"" - http://bit.ly/33G5rc7:=:https://www.digi24.ro/stiri/actualitate/val-de-critici-dupa-decizia-fara-precedent-a-unei-primarii-de-a-desfiinta-politia-locala-nu-se-face-nicio-economie-la-buget-1225931","https://www.facebook.com/361342783884945/posts/945904279124492"
"ABC News","AU",2022-04-27,437,"A COVID-19 outbreak has caused severe economic damage to China's most populous city.","https://www.facebook.com/72924719987/posts/10163418274144988"
"CNA","SG",2022-12-27,435,"Pent-up demand has seen the cost of an economy ticket from Singapore to Beijing this Friday (Dec 30) and returning next Tuesday spike to around S$4,160.","https://www.facebook.com/93889432933/posts/10159364669357934"
"detikcom","ID",2020-01-09,434,"""Prestasi ini dihitung dari mana sih? Harus ada angka-angka, ekspor naik berapa untuk China, untuk Amerika, untuk negara Afrika,"" kata Jokowi. #Dubes #Jokowi","https://www.facebook.com/374777242078/posts/10158740768132079"
"Malaysiakini","MY",2022-08-03,433,"Natural sand, fruit, and fish trading suspended. -MkiniNews","https://www.facebook.com/47298465905/posts/10158909581970906"
"ABC News","AU",2021-01-09,433,"There is a lot riding on luck: effective coronavirus vaccines and détente in tensions with China. However, some analysts are predicting a new mining boom as the global economy improves and demand for electric vehicles and renewable energy surges.","https://www.facebook.com/72924719987/posts/10162085870429988"
"GMA News","PH",2021-05-06,433,"Hindi totoong wala tayong magagawa sa panghihimasok ng mga Chinese sa teritoryo ng Pilipinas, ayon sa maritime law expert na si Prof. Jay Batongbacal. Patunay raw diyan ang pagpapaalis ng Philippine Coast Guard sa pitong hinihinalang Chinese militia vessels sa Sabina Shoal na nasa loob ng ating Exclusive Economic Zone. Ang aktuwal na pag-radyo at pagpapaalis nila sa mga Tsino, silipin sa video! Basahin: https://bit.ly/33qjd4Vs","https://www.facebook.com/116724526976/posts/10160017935536977"
"CNA","SG",2022-06-02,432,"Former Singapore diplomat Kishore Mahbubani believes India’s economy can match China’s. But there’s going to be a struggle ahead.","https://www.facebook.com/93889432933/posts/10158947782187934"
"CNA","SG",2020-06-19,431,"Just as we are looking for the global economy to bounce back from COVID-19, the region’s two largest economies may start a trade war, says an observer.","https://www.facebook.com/93889432933/posts/10157529031497934"
"Thairath - ไทยรัฐออนไลน์","TH",2023-08-31,430,"'ลาว' เศรษฐกิจล่มสลาย หนี้สาธารณะท่วม เงินกีบอ่อนค่า จีนเจ้าหนี้ใหญ่ เข้ามาช่วยเหลือด้านพลังงาน ทำให้สินค้าไทย ที่เคยส่งออกได้รับผลกระทบหนัก #ลาว #เศรษฐกิจ #เจาะประเด็นไทยรัฐออนไลน์","https://www.facebook.com/100064690570758/posts/706409038192109"
"ABC News","AU",2021-02-11,430,"Joe Biden told Xi Jinping his priority was to protect the ""American people's security, prosperity, health and way of life, and preserving a free and open Indo-Pacific"".","https://www.facebook.com/72924719987/posts/10162224802544988"
"Diario El Comercio (Perú)","PE",2020-03-04,427,"🔻 La ministra María Antonieta Alva calificó el virus de China como “una nueva fuente de incertidumbre”.","https://www.facebook.com/71263708835/posts/10158719797253836"
"GMA News","PH",2023-09-15,427,"Ikinabahala ng AFP Western Command ang namataan nilang kumpulan na naman ng Chinese fishing vessels sa loob ng Exclusive Economic Zone ng Pilipinas. May mga namataan din umanong Chinese vessel malapit sa Recto Bank na pinaniniwalaang mayaman sa gas. Para sa buong detalye, panoorin.","https://www.facebook.com/100064849986224/posts/713234917514835"
"GMA News","PH",2022-06-11,426,"It was the second diplomatic protest by the ministry this week, adding to more than 300 complaints filed against Beijing's ""illegal"" activities in the South China Sea. China engaged in ""illegal fishing"" while Chinese coast guard vessels shadowed Philippine boats on a resupply mission around its shoal, the DFA said in a statement.","https://www.facebook.com/116724526976/posts/10161025428006977"
"CNA","SG",2022-04-13,422,"If all Chinese cities are locked down, the national income would fall by more than half – a massive, unsustainable cost, says this writer.","https://www.facebook.com/93889432933/posts/10158866135917934"
"CNA","SG",2022-06-21,421,"Economic losses have exceeded US$70 million, with 43,300ha of crops destroyed, according to Chinese state media.","https://www.facebook.com/93889432933/posts/10158978451172934"
"El País","ES",2021-09-20,421,"Hasta hace unos días, Evergrande era la segunda inmobiliario más grande de China. Ahora, con una deuda que alcanza la friolera de 254.000 millones de euros, está a punto de colapsar, lo que afectará al conjunto de la economía del país","https://www.facebook.com/8585811569/posts/10158522564886570"
"CNN","US",2022-06-09,421,"Nike is deactivating its Run Club app in China, becoming the latest Western company to reconfigure its business in the world's second-largest economy.","https://www.facebook.com/5550296508/posts/10162827353736509"
"CNA","SG",2021-04-16,419,"China was the only major economy that grew last year.","https://www.facebook.com/93889432933/posts/10158236140832934"
"Diario El Comercio (Perú)","PE",2020-08-11,418,"¿Necesitas cambiar dólares? 💵 Revisa aquí a cuánto se cotiza la moneda internacional en las principales casas de cambio y en el mercado interbancario 👇💰","https://www.facebook.com/71263708835/posts/10159332432208836"
"ABC News","AU",2022-08-16,418,"ANALYSIS: Strategic ambiguity worked well enough when China was too weak to take Taiwan by force and when it lacked global economic clout. All that has changed.","https://www.facebook.com/72924719987/posts/10163669824699988"
"GMA News","PH",2021-11-20,418,"The United States and Taiwan next week will hold a second session of an economic dialogue launched last year in the face of increasing pressure on the island from China, the State Department said.","https://www.facebook.com/116724526976/posts/10160555193421977"
"CNA","SG",2022-05-23,417,"The United States, Japan, and 11 other nations will launch the US-led Indo-Pacific Economic Framework for Prosperity, which is seen as a counterweight to China's expansion in the region.","https://www.facebook.com/93889432933/posts/10158930080022934"
"CNA","SG",2020-02-12,417,"Could the economic fallout of the coronavirus outbreak be worse than what Asia experienced with SARS back in 2003? #MoneyMind (via CNA Insider)","https://www.facebook.com/93889432933/posts/10157115567932934"
"detikcom","ID",2021-11-14,415,"Negara dengan ekonomi terbesar kedua di dunia, China tengah mengalami inflasi. Begini dampaknya ke Indonesia!","https://www.facebook.com/374777242078/posts/10161007196127079"
"GMA News","PH",2021-11-09,414,"Russia has signed a contract with China to jointly develop a multipurpose heavy helicopter, state-owned Russian Helicopters said, in a sign of closer technological cooperation between Moscow and the world's no. 2 economy.","https://www.facebook.com/116724526976/posts/10160525663741977"
"Digi24","RO",2021-12-23,412,"Potrivit acuzării, specialistul în nanotehnologie a fost plătit cu „până la 50.000 de dolari pe lună” timp de trei ani de către Universitatea de Tehnologie din Wuhan (China), pe lângă o sumă anuală de 150.000 de dolari şi 1,5 milioane de dolari pentru înfiinţarea unui laborator.","https://www.facebook.com/361342783884945/posts/5293536907332150"
"Malaysiakini","MY",2020-12-26,411,"This is five years earlier than estimated due to the two countries' contrasting recoveries from Covid-19, says CEBR. Tgram: bit.ly/mktg8:=:https://t.me/malaysiakini","https://www.facebook.com/47298465905/posts/10157793378105906"
"CNA","SG",2022-09-05,411,"After Chinese projectiles launched over Taiwan landed in Japan's exclusive economic zone, Tokyo is debating not missile defence, but whether to strike enemy bases offensively, says this writer.","https://www.facebook.com/93889432933/posts/10159093421747934"
"GMA News","PH",2022-12-20,408,"“The reported escalating swarms of PRC (People's Republic of China) vessels in the vicinity of Iroquois Reef and Sabina Shoal in the Spratly Islands interfere with the livelihoods of Philippine fishing communities, and also reflect continuing disregard for other South China Sea claimants and states lawfully operating in the region,” US Department of State spokesperson Ned Price said in a statement. “The United States supports the Philippines’ continued calls upon the People’s Republic of China (PRC) to respect the international law of the sea in the South China Sea, as reflected in the UN Convention on the Law of the Sea (UNCLOS), and its legal obligations pursuant to the 2016 arbitral ruling,” Price added.","https://www.facebook.com/116724526976/posts/10161477635621977"
"CBC News","CA",2020-01-16,408,"U.S. President Donald Trump and China's chief negotiator, Liu He, are scheduled to sign a modest trade agreement that eases some sanctions on China.","https://www.facebook.com/5823419603/posts/10158234235519604"
"detikcom","ID",2020-01-17,407,"Akhirnya dua negara dengan kekuatan ekonomi terbesar di dunia menandatangani kesepakatan gencatan senjata pada Rabu, (15/1). #PerangDagang #AS #China via Detikfinance","https://www.facebook.com/374777242078/posts/10158768987447079"
"GMA News","PH",2023-09-08,406,"Philippines completes another resupply mission to Ayungin Shoal which is inside the Philippines’ exclusive economic zone. Video from Senate President Migz Zubiri shows China Coast Guard ships doing dangerous maneuvers with Philippine Navy ships. | via Joseph Morong/GMA Integrated News Visit www.gmanews.tv:=:https://www.gmanetwork.com/news/ for the latest updates.","https://www.facebook.com/100064849986224/posts/708636341308026"
"GMA News","PH",2023-01-19,404,"President Ferdinand Marcos Jr. said Wednesday that tension in the disputed South China Sea ""keeps him up at night"", but his country was committed to peace despite Beijing's territorial claims. Speaking at the World Economic Forum in Davos, Switzerland, Marcos said his nation was watching as a ""bystander"" whenever tensions rise after Chinese or US warships cross the region.","https://www.facebook.com/116724526976/posts/10161550332946977"
"ABC News","AU",2021-07-21,403,"""I applaud the way Australia has faced up to tremendous pressures in a consistent, principled and resilient manner.""","https://www.facebook.com/72924719987/posts/10162730750724988"
"ABC News","AU",2020-08-18,403,"The Philippines has now overtaken Indonesia to become the epicentre for COVID-19 in South-East Asia.","https://www.facebook.com/72924719987/posts/10161601654674988"
"Digi24","RO",2020-12-23,401,"Chinezii îngheață de frig în casă și la birou. China face economie de curent pentru a-și atinge obiectivele de mediu -- https://bit.ly/3p9MABs:=:https://www.digi24.ro/stiri/externe/mapamond/chinezii-ingheata-de-frig-in-casa-si-la-birou-china-face-economie-de-curent-pentru-a-si-atinge-obiectivele-de-mediu-1422502","https://www.facebook.com/361342783884945/posts/4134504093235443"
"CNA","SG",2022-12-28,400,"Vietnam will conclude 2022 as the best-performing economy in Asia, largely due to its ability to attract foreign investment relocating from China, says this writer.","https://www.facebook.com/93889432933/posts/10159366084262934"
"GMA News","PH",2022-11-17,400,"President Ferdinand ""Bongbong"" Marcos Jr meets with Chinese President Xi Jinping in a bilateral meeting at the sidelines of the 29th APEC Economic Leaders’ Meeting in Bangkok, Thailand. | via Mariz Umali/GMA Integrated News Related story: https://www.gmanetwork.com/news/topstories/nation/851782/trade-sovereignty-among-topics-in-philippines-china-bilateral-talks/story/ Courtesy: Bongbong Marcos/IG","https://www.facebook.com/116724526976/posts/10161381134311977"
"CNA","SG",2022-10-08,399,"Xi Jinping is expected to be re-elected at the upcoming Chinese Communist Party congress. The road ahead will be challenging amid China's declining economic growth, a shrinking workforce and an ageing population, says Chinese politics expert Bo Zhiyue.","https://www.facebook.com/93889432933/posts/10159147860217934"
"CNA","SG",2022-05-25,399,"The lifting of trade tariffs would be a “great start” to how China and Australia manage a relationship that has become more complex over time, says Australian Treasurer Jim Chalmers.","https://www.facebook.com/93889432933/posts/10158933100872934"
"CNA","SG",2021-09-22,399,"Is China becoming a nanny state and overreacting in recent moves to curb video games and tuition? SUSS' Yew Chiew Ping explains why it might not know best.","https://www.facebook.com/93889432933/posts/10158538152242934"
"detikcom","ID",2020-04-09,399,"Selain itu, 18.3 ribu ton atau setara nilai ekonomi Rp 397 miliar berhasil menembus pasar India, Vietnam, dan Malaysia pada periode Januari hingga April 2020.","https://www.facebook.com/374777242078/posts/10159121175147079"
"ABC News","AU",2020-03-26,399,"""We're like restaurants. If we can't sell our product, we can't survive.""","https://www.facebook.com/72924719987/posts/10160941938509988"
"CNA","SG",2022-06-14,398,"""When is it going to end? (The government) is ruining us to save their face,” a frustrated Beijing bar owner laments.","https://www.facebook.com/93889432933/posts/10158967521127934"
"CNA","SG",2023-05-14,397,"The setting up of the five buoys highlights the Philippines' resolve to protect its maritime boarders, says a spokesperson for the country's coast guard.","https://www.facebook.com/93889432933/posts/10159630465577934"
"CNA","SG",2023-04-17,397,"Financial sanctions by the US do ""create a desire on the part of China, of Russia, of Iran to find an alternative”, says Treasury Secretary Janet Yellen.","https://www.facebook.com/93889432933/posts/10159573881992934"
"GMA News","PH",2023-11-16,397,"The Philippine Department of Foreign Affairs (DFA) called on China on Thursday to remove illegal structures, cease reclamations, and be accountable for environmental damage in the West Philippine Sea (WPS). The DFA said in a statement that regular resupply missions to Ayungin Shoal, located within the Philippines' exclusive economic zone (EEZ), are legitimate activities, and it will not give prior notification to China. The Philippines was responding to a statement by the Chinese foreign ministry spokesperson regarding the Philippines' recent resupply mission. READ: https://www.gmanetwork.com/news/topstories/nation/888567/ph-calls-on-china-to-remove-illegal-structures-cease-reclamations-in-wps/story/","https://www.facebook.com/100064849986224/posts/752983883539938"
"GMA News","PH",2021-05-03,396,"""China has no law enforcement rights in these areas,"" the DFA said in its protest. ""The presence of Chinese Coast Guard vessels in the Philippines' territorial waters of Pag-asa Islands and Bajo de Masinloc, and exclusive economic zone, raises serious concern,"" it added.","https://www.facebook.com/116724526976/posts/10160007694836977"
"CNN","US",2024-01-11,395,"As ​​Haley and DeSantis duked it out in Iowa, some clear economic themes began to emerge that will likely have a big influence on the upcoming Republican primaries and beyond. | Analysis","https://www.facebook.com/100059479812265/posts/759709559355031"
"Citizen TV Kenya","KE",2020-04-14,388,"On #DayBreak this Tuesday: Mandera County has 6 reported covid-19 cases. Governor Ali Roba reflects on county preparedness as experts dive in. Also, Kenya’s economy has taken a hit, cruelty in China is hurting Kenyans. Join @SamGituku & @Zindzi_K for these & more starting 6am.","https://www.facebook.com/261061365404/posts/10163567063575405"
"ABC News","AU",2022-05-30,388,"China shocked the world with its transformation from an agrarian society into an economic powerhouse. Russia did the same with its rise from the ashes of the Soviet empire. Now they are in financial strife, however, and the ramifications are just as global, writes business editor Ian Verrender.","https://www.facebook.com/72924719987/posts/10163497890079988"
"CNA","SG",2020-07-16,384,"China's GDP growth in the second quarter of 2020 follows a steep 6.8% slump in the first quarter.","https://www.facebook.com/93889432933/posts/10157610163902934"
"CNA","SG",2022-10-24,381,"After decades of high growth, China's economy is running out of steam. All eyes are on Xi Jinping and his plans for the country’s future.","https://www.facebook.com/93889432933/posts/10159187433977934"
"CNA","SG",2020-08-02,381,"""Getting a single job offer is a feat"": Nearly 9 million people in China are graduating this year, but many have not been able to secure a job.","https://www.facebook.com/93889432933/posts/10157653701872934"
"CBC News","CA",2021-02-10,381,"CSIS director David Vigneault names Russia and China as countries of concern.","https://www.facebook.com/5823419603/posts/10159472038739604"
"Digi24","RO",2023-04-09,376,"„De ce trebuie să mergem în ritmul ales de alţii? La un moment dat, va trebui să ne punem întrebarea privind interesul nostru”.","https://www.facebook.com/361342783884945/posts/6793142237371602"
"ABC News","AU",2021-12-05,376,"The Asia Power Index considers economic and military capability, economic relationships and defence networks, as well as diplomatic and cultural influence.","https://www.facebook.com/72924719987/posts/10163082837479988"
"GMA News","PH",2022-09-26,375,"The Philippines has filed at least 405 diplomatic protests over China's aggression in the country's exclusive economic zone (EEZ) in the West Philippine Sea, the Department of Foreign Affairs (DFA) said Monday.","https://www.facebook.com/116724526976/posts/10161224486171977"
